#  N_Simpson  Simpsons  
#-----------------------------------------
0.477121  -2.072090514
0.6989700043  -4.223234479
0.84509804  -4.480567754
0.9542425094  -5.006075282
1.041392685  -5.391529806
1.113943352  -5.709434643
1.176091259  -5.994898982
1.230448921  -6.200266323
1.278753601  -6.419873387
1.322219295  -6.637284488
1.361727836  -6.816225414
1.397940009  -7.024783956
1.431363764  -7.526562795
1.462397998  -7.644424959
1.491361694  -7.670149761
1.51851394  -7.354607198
1.544068044  -7.704977202
1.568201724  -7.685320219
1.591064607  -7.990883436
1.612783857  -8.310579998
1.633468456  -7.974906467
1.653212514  -7.599587188
1.672097858  -8.096125843
1.69019608  -7.597327945
1.707570176  -7.421351335
1.72427587  -7.288387765
1.740362689  -8.159324923
1.755874856  -7.30948426
1.770852012  -7.936052166
1.785329835  -7.209278193
1.799340549  -7.378590887
1.812913357  -7.972282275
1.826074803  -7.509862704
1.838849091  -8.187871434
1.851258349  -8.189865133
1.86332286  -8.273574241
1.875061263  -7.638276158
1.886490725  -9.142398731
1.897627091  -7.841908544
1.908485019  -7.792023817
1.919078092  -7.311734103
1.929418926  -7.883802017
1.939519253  -7.904934637
1.949390007  -7.432444675
1.959041392  -7.496222082
1.968482949  -7.787995863
1.977723605  -7.477846385
1.986771734  -7.498049668
1.995635195  -7.683004328
2.004321374  -7.582859272
2.012837225  -7.393079739
2.021189299  -7.35503531
2.029383778  -7.67860699
2.037426498  -7.91872698
2.045322979  -7.407189814
2.053078443  -7.320575218
2.06069784  -8.167867944
2.068185862  -8.206605154
2.075546961  -8.149288503
2.08278537  -7.209278195
2.089905111  -7.174503572
2.096910013  -7.43418812
2.103803721  -7.141217814
2.11058971  -8.162886128
2.117271296  -8.128870137
2.123851641  -7.435538721
2.130333768  -7.501191387
2.136720567  -8.854768846
2.1430148  -7.666324
2.149219113  -8.992130042
2.155336037  -7.625933768
2.161368002  -8.060874328
2.167317335  -8.20284869
2.173186268  -7.502782336
2.178976947  -7.537967418
2.184691431  -7.987734303
2.190331698  -9.032251819
2.195899652  -7.735521898
2.201397124  -7.536534327
2.206825876  -7.882282576
2.212187604  -8.216506516
2.217483944  -7.346951886
2.222716471  -7.327786212
2.227886705  -7.646913034
2.23299611  -7.548469802
2.238046103  -8.221406076
2.243038049  -8.096637643
2.247973266  -7.502555195
2.252853031  -7.972263547
2.257678575  -7.609233882
2.26245109  -7.451302431
2.267171728  -7.666324
2.271841607  -8.259140999
2.276461804  -7.497510888
2.281033367  -7.295099312
2.285557309  -7.51309882
2.290034611  -7.423134274
2.294466226  -7.608450451
2.298853076  -9.767980584
2.303196057  -7.582859262
2.307496038  -7.773096038
2.311753861  -7.400429765
2.315970345  -8.0182523
2.320146286  -7.323468391
2.324282455  -7.334339119
2.328379603  -7.6993985
2.33243846  -7.424086731
2.336459734  -8.201489961
2.340444115  -7.300546018
2.344392274  -7.407189809
2.348304863  -7.577893249
2.352182518  -7.340693226
2.356025857  -8.22972837
2.359835482  -8.649973107
2.36361198  -7.268907346
2.367355921  -8.69120476
2.371067862  -7.207912095
2.374748346  -8.586573842
2.378397901  -7.215115989
2.382017043  -7.179867239
2.385606274  -7.309794538
2.389166084  -7.167197978
2.392696953  -7.342894774
2.396199347  -7.490395919
2.399673721  -7.222419505
2.403120521  -7.163240213
2.40654018  -8.334376415
2.409933123  -8.820446403
2.413299764  -8.149991108
2.416640507  -8.401162468
2.419955748  -8.712086174
2.423245874  -7.408455222
2.426511261  -7.524782878
2.42975228  -7.526839469
2.432969291  -7.682332064
2.436162647  -8.069018587
2.439332694  -8.190198563
2.442479769  -7.749620857
2.445604203  -7.530989294
2.44870632  -8.142643379
2.451786436  -7.432259989
2.45484486  -7.608394319
2.457881897  -7.817294428
2.460897843  -7.994192823
2.463892989  -8.151811564
2.46686762  -8.359384886
2.469822016  -7.645257862
2.472756449  -7.532901649
2.475671188  -8.384418293
2.478566496  -7.537967412
2.481442629  -8.541980181
2.484299839  -8.017585492
2.487138375  -7.922643277
2.489958479  -8.396069752
2.492760389  -7.698617501
2.495544338  -7.841908526
2.498310554  -7.699534172
2.501059262  -7.539820019
2.503790683  -7.371072085
2.506505032  -7.90433064
2.509202522  -7.675073949
2.511883361  -7.934400445
2.514547753  -7.607833095
2.517195898  -7.344918591
2.519827994  -7.431107509
2.522444234  -7.322044587
2.525044807  -7.318249134
2.527629901  -7.679888149
2.530199698  -7.708174497
2.532754379  -7.658164466
2.53529412  -7.989876494
2.537819095  -8.318899075
2.540329475  -7.491583668
2.542825427  -8.179649625
2.545307116  -7.818701227
2.547774705  -7.494478594
2.550228353  -8.697741603
2.552668216  -7.87982416
2.555094449  -7.459126607
2.557507202  -7.549062311
2.559906625  -7.315342896
2.562292864  -7.492935611
2.564666064  -7.443140985
2.567026366  -7.705978434
2.56937391  -7.502782336
2.571708832  -8.796532751
2.574031268  -7.703242189
2.57634135  -7.415285879
2.57863921  -7.438089491
2.580924976  -7.302976256
2.583198774  -7.82528322
2.58546073  -7.483504601
2.587710965  -7.519924008
2.589949601  -7.435631872
2.592176757  -7.39401159
2.59439255  -7.608450458
2.596597096  -7.624322252
2.598790507  -8.716903968
2.600972896  -7.876990223
2.603144373  -7.469549992
2.605305046  -7.505961373
2.607455023  -7.727067276
2.609594409  -7.647191736
2.611723308  -7.384063762
2.613841822  -9.261681788
2.615950052  -7.922950624
2.618048097  -7.754645491
2.620136055  -7.355035322
2.622214023  -7.345113105
2.624282096  -7.354917987
2.626340367  -7.311850418
2.62838893  -7.740311428
2.630427875  -7.812115086
2.632457292  -7.405821802
2.63447727  -8.146710945
2.636487896  -8.149393597
2.638489257  -8.522527649
2.640481437  -7.259805092
2.64246452  -7.317262384
2.644438589  -7.403713119
2.646403726  -7.273904083
2.648360011  -7.541063742
2.650307523  -7.21340749
2.652246341  -7.29073158
2.654176542  -7.537967409
2.656098202  -8.525550164
2.658011397  -7.277718086
2.6599162  -8.230397204
2.661812686  -7.692387172
2.663700925  -7.248741531
2.665580991  -8.429746064
2.667452953  -8.760041616
2.669316881  -8.407989278
2.671172843  -7.209991184
2.673020907  -7.433994459
2.674861141  -8.562654141
2.67669361  -7.197274929
2.678518379  -7.210988904
2.680335513  -7.510461887
2.682145076  -7.211311601
2.683947131  -7.184851653
2.685741739  -7.309794522
2.687528961  -7.429450382
2.689308859  -7.172665615
2.691081492  -7.266287313
2.692846919  -7.33621602
2.694605199  -7.500440233
2.696356389  -7.424413485
2.698100546  -7.347492439
2.699837726  -7.219418904
