#  N_Milne  Milne 
#-----------------------------------------
#------------------------------------------
0.69897  -3.300245106
0.9542425094  -5.185004772
1.113943352  -6.913237116
1.230448921  -7.818073992
1.322219295  -7.606601005
1.397940009  -7.531519216
1.462397998  -7.363852183
1.51851394  -8.29196752
1.568201724  -8.47640099
1.612783857  -7.686436901
1.653212514  -7.431828506
1.69019608  -7.478134108
1.72427587  -7.244950472
1.755874856  -7.269081205
1.785329835  -7.190745279
1.812913357  -8.074524616
1.838849091  -8.251362514
1.86332286  -8.151361782
1.886490725  -8.83884649
1.908485019  -7.772298442
1.929418926  -7.878357398
1.949390007  -7.423292643
1.968482949  -7.773528315
1.986771734  -7.492173056
2.004321374  -7.596101475
2.021189299  -7.359864287
2.037426498  -7.906583157
2.053078443  -7.321324791
2.068185862  -8.232383984
2.08278537  -7.209278196
2.096910013  -7.438160417
2.11058971  -8.179138787
2.123851641  -7.431008294
2.136720567  -8.975636758
2.149219113  -9.183359299
2.161368002  -8.049805256
2.173186268  -7.495091208
2.184691431  -7.961610798
2.195899652  -7.729276467
2.206825876  -7.889022831
2.217483944  -7.34940447
2.227886705  -7.634908008
2.238046103  -8.253620696
2.247973266  -7.507657517
2.257678575  -7.617925515
2.267171728  -7.659306712
2.276461804  -7.49885407
2.285557309  -7.51412087
2.294466226  -7.603907267
2.303196057  -7.582859265
2.311753861  -7.400924221
2.320146286  -7.321443316
2.328379603  -7.700820639
2.336459734  -8.228905194
2.344392274  -7.407189812
2.352182518  -7.342068133
2.359835482  -8.713279489
2.367355921  -8.755097246
2.374748346  -8.489963655
2.382017043  -7.177975548
2.389166084  -7.166715283
2.396199347  -7.49441492
2.403120521  -7.164748856
2.409933123  -8.683825695
2.416640507  -8.42717131
2.423245874  -7.406708331
2.42975228  -7.528604424
2.436162647  -8.036566983
2.442479769  -7.755785786
2.44870632  -8.118470307
2.45484486  -7.607249828
2.460897843  -7.99009126
2.46686762  -8.372134745
2.472756449  -7.534985873
2.478566496  -7.537967406
2.484299839  -8.019650471
2.489958479  -8.361812722
2.495544338  -7.850020456
2.501059262  -7.540039958
2.506505032  -7.905841016
2.511883361  -7.920784383
2.517195898  -7.344783376
2.522444234  -7.321664503
2.527629901  -7.682178122
2.532754379  -7.666564611
2.537819095  -8.326247769
2.542825427  -8.185791214
2.547774705  -7.49394544
2.552668216  -7.874308439
2.557507202  -7.545332445
2.562292864  -7.495858356
2.567026366  -7.708755405
2.571708832  -8.873863065
2.57634135  -7.410320358
2.580924976  -7.303506501
2.58546073  -7.481601522
2.589949601  -7.436477979
2.59439255  -7.608450458
2.598790507  -8.691295343
2.603144373  -7.462951474
2.607455023  -7.724165448
2.611723308  -7.382994296
2.615950052  -7.917283083
2.620136055  -7.357223658
2.624282096  -7.356325207
2.62838893  -7.743181033
2.632457292  -7.404631029
2.636487896  -8.146133041
2.640481437  -7.257220238
2.644438589  -7.403482323
2.648360011  -7.538716006
2.652246341  -7.287596583
2.656098202  -8.554774532
2.6599162  -8.212823033
2.663700925  -7.247429865
2.667452953  -8.765043269
2.671172843  -7.210130153
2.674861141  -8.561105523
2.678518379  -7.210715148
2.682145076  -7.213491092
2.685741739  -7.309794538
2.689308859  -7.173032589
2.692846919  -7.335774403
2.696356389  -7.420351575
2.699837726  -7.219219588
